CaseID$,CNTYNAME,STATE,FIPST,FIPCNT,ADVCH,ARMENIAN,CPRIMBAP,DUCKRIV,FREEBAP,FREEWIL,GENBAP,NNATBAP,NORTHBAP,NSNCBAP,UAFCBAP,PRIMBAP,SOUNCBAP,UNITBAP,BUDDHIST,CHRREF,CHRCONN,CHCHRIST,CHGNAGE,CHCHRSCI,CHLVGOD,CONGREG,CONGMETH,DISCIPLE,DUNKCON,DUNKPROG,EVANASS,FREECHZ,FRHICK,FRORTH,GERMEVMA,GERMEVSY,GREEKORT,JEWISH,CJCLDS,LDSREORG,LUTHAPOS,FINNNAT,FINNSYN,LUTHGEN,LUTHGSYN,LUTHTEX,LUTHHAUG,LUTHOHIO,LUTHNORF,LUTHNORW,LUTHNORS,LUTHCONF,LUTHMICH,LUTHIOWA,LUTHDAN,LUTHUNOR,LUTHSOUT,MENNON,MENNGEN,AFRMETH,AME,AMEZION,COLMETH,METHOD,METHEPIS,METHEPS,FREEMETH,METHPROT,MORAVIAN,NONSECT,OTHER,PENTNAZ,POLISH,PRESBREF,PRESBUS,PRESBUSA,COLCUMB,CUMBPRES,UNITPRES,WELSHPRS,PROTEPIS,OTHPROT,TOTPROT,REFAMER,REFUS,REFZION,CATHOLIC,SALVARMY,SERVORTH,SEVDAYAD,SPIRIT,SWEDEVAN,UNITAR,UNITBRET,UNITEVAN,UNIVER
675,BARTHOLOMEW,INDIANA,18,3,0,0,0,0,0,0,0,1156,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,2780,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,1495,0,0,0,0,0,0,0,25,0,0,0,0,3306,0,0,0,0,0,40,0,0,0,0,432,0,0,0,0,23,800,11539,0,0,0,383,0,0,0,0,0,0,797,0,0
676,BENTON,INDIANA,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,81,2859,0,0,0,930,0,0,0,0,0,0,503,0,0
677,BLACKFORD,INDIANA,18,5,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,454,24,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,0,0,87,0,0,30,0,0,0,0,281,0,0,0,0,0,235,4035,0,0,0,649,0,0,0,0,0,0,706,0,0
678,BOONE,INDIANA,18,6,0,0,0,0,0,0,0,1203,0,0,0,585,0,0,0,0,1228,25,0,0,0,0,0,2861,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,2320,0,0,403,0,0,0,0,0,0,0,717,0,0,0,0,0,326,10517,0,0,0,0,0,0,0,0,0,0,584,0,0
679,BROWN,INDIANA,18,7,0,0,0,0,0,0,0,395,0,0,0,14,0,0,0,0,226,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,242,2062,0,0,0,0,0,0,0,0,0,0,184,0,0
680,CARROLL,INDIANA,18,8,0,0,0,0,0,0,0,790,0,0,0,64,0,0,0,0,335,0,0,0,0,0,0,644,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1472,0,0,84,0,0,0,0,0,0,0,907,0,265,0,0,18,553,6220,0,59,0,480,0,0,0,0,0,0,133,0,0
681,CASS,INDIANA,18,9,0,0,0,0,0,0,0,1054,0,0,0,0,0,0,0,0,767,32,0,0,0,0,0,1118,93,0,282,0,0,0,0,0,0,18,0,0,0,0,0,0,371,0,0,0,0,0,0,975,0,0,0,0,0,0,0,58,0,0,0,0,2797,0,0,0,0,0,0,0,0,0,0,1121,0,220,0,0,125,563,10308,0,0,0,2637,0,0,0,0,0,0,732,0,0
682,CLARK,INDIANA,18,10,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,3494,0,0,0,0,0,0,0,0,0,0,1293,0,0,0,0,123,758,9616,0,0,0,3236,0,0,0,0,0,0,130,0,0
683,CLAY,INDIANA,18,11,0,0,0,0,0,0,59,762,0,0,0,134,0,0,0,0,327,190,0,0,0,0,0,1052,120,0,52,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,99,0,0,0,0,0,0,0,47,0,0,0,0,3160,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,18,263,9199,0,492,0,2065,0,0,0,0,0,0,1694,0,0
684,CLINTON,INDIANA,18,12,0,0,0,0,0,0,0,934,0,0,0,89,0,0,0,0,905,0,0,0,0,0,0,1381,251,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2801,0,0,474,0,0,25,0,0,0,0,1122,0,0,0,0,40,1028,10179,0,343,0,183,0,0,0,0,0,0,652,0,0
685,CRAWFORD,INDIANA,18,13,0,0,0,0,0,0,23,87,0,0,0,85,0,0,0,0,0,120,0,0,0,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448,0,0,0,0,0,50,0,0,0,0,197,0,0,0,0,0,165,3507,0,0,0,0,0,0,0,0,0,0,658,0,0
